loss,acc,val_loss,val_acc
0.591488,0.7882666666348775,0.433137,0.8493
0.368485,0.8680833333015442,0.358820,0.8707
0.320207,0.8846333333651225,0.330752,0.8828
0.293310,0.8934,0.323314,0.88
0.271509,0.9012666666348775,0.316541,0.8838
0.254134,0.9060833333651225,0.296805,0.8924
0.240113,0.9116833333015442,0.296542,0.8947
0.226994,0.9164500000317891,0.292367,0.896
0.215573,0.9196000000317891,0.292562,0.8949
0.205667,0.9241666666666667,0.294455,0.9004
0.194192,0.9281166666348776,0.283009,0.9005
0.186442,0.9301166666666667,0.285698,0.9009
0.176403,0.9333833333333333,0.278472,0.9042
0.166610,0.9374833333333333,0.288034,0.9015
0.160204,0.9399333333015442,0.292840,0.9021
0.149576,0.9438666666666666,0.286259,0.9027
0.143000,0.9460999999682108,0.303115,0.9033
0.134676,0.9493500000317892,0.313595,0.9004
0.126231,0.9525666666348775,0.333969,0.9004
0.119629,0.95535,0.330323,0.9003
0.112349,0.9581333333651225,0.347793,0.8979
0.104159,0.96115,0.356176,0.8949
0.101688,0.9619166666666666,0.356806,0.9013
0.095606,0.9632833333015441,0.373226,0.9005
0.088879,0.9665333333333334,0.382703,0.8968
0.083223,0.9684999999682109,0.392381,0.9009
0.080909,0.9686333333651225,0.400166,0.8972
0.074784,0.9716666666348776,0.431015,0.8936
0.075007,0.9710333333651224,0.434061,0.8992
0.065729,0.9756166666348776,0.449964,0.899
