loss,acc,val_loss,val_acc
1.633436,0.4500199999809265,1.221205,0.561
1.086858,0.61386,1.020949,0.6431
0.869099,0.6920199999809266,0.966745,0.6678
0.702379,0.7546399999809266,0.946185,0.6799
0.540282,0.8091,0.966439,0.6825
0.392185,0.86244,1.066194,0.6869
0.270275,0.9058800000190735,1.167099,0.6918
0.179504,0.93762,1.307966,0.6915
0.128854,0.9556799999809266,1.520429,0.6842
0.101039,0.9657,1.604670,0.6952
0.105943,0.964719999961853,1.715530,0.6817
0.082700,0.971960000038147,1.797055,0.6862
0.085302,0.970899999961853,1.822370,0.695
0.079310,0.9727399999809265,1.965606,0.6797
0.061219,0.9801199999809265,2.067900,0.6956
0.079768,0.974279999961853,1.934898,0.6844
0.063731,0.978819999961853,2.031269,0.6818
0.059949,0.9801,2.095301,0.6848
0.059076,0.979960000038147,2.155943,0.6894
0.056055,0.9816200000190735,2.161074,0.6821
0.060073,0.980859999961853,2.197314,0.6932
0.059198,0.9807000000190735,2.306585,0.6834
0.049303,0.984060000038147,2.193951,0.6916
0.048636,0.9843400000381469,2.271663,0.6894
0.046707,0.985220000038147,2.331529,0.6881
0.045177,0.985719999961853,2.457361,0.6911
0.047735,0.984060000038147,2.485872,0.6862
0.049656,0.9847600000190735,2.414770,0.6803
0.047026,0.98504,2.375613,0.6906
0.033753,0.9899000000190735,2.519460,0.6932
