loss,acc,val_loss,val_acc
0.266261,0.9230833333015442,0.071810,0.9772
0.066167,0.9797166666984558,0.045822,0.9844
0.046679,0.9851333333015442,0.037844,0.9882
0.036307,0.9883999999682108,0.032048,0.9897
0.030384,0.9900333333333333,0.035070,0.9891
0.025311,0.9918166666348776,0.038879,0.9876
0.021239,0.993,0.041183,0.988
0.018087,0.9942499999682108,0.036463,0.9901
0.015668,0.9949,0.039996,0.9885
0.012890,0.9956166666666667,0.033235,0.9903
0.012192,0.9959166666666667,0.033020,0.9892
0.010332,0.9964833333333334,0.038730,0.9891
0.009746,0.99635,0.053031,0.9853
0.009562,0.9966166666666667,0.037424,0.99
0.006454,0.9978,0.044406,0.9881
0.006409,0.9977833333333334,0.050125,0.9887
0.007875,0.99735,0.039706,0.9909
0.007507,0.9975166666348775,0.042623,0.9895
0.006878,0.9975833333333334,0.043877,0.99
0.004396,0.9984666666666666,0.039480,0.9905
0.006495,0.99795,0.038101,0.9919
0.005143,0.9981,0.044041,0.9916
0.006315,0.9979666666348775,0.037483,0.9913
0.005843,0.9981499999682109,0.036239,0.9918
0.004147,0.9986833333333334,0.050350,0.9893
0.004158,0.9986666666666667,0.048499,0.9885
0.004234,0.9986166666666667,0.043635,0.9908
0.004618,0.9984166666666666,0.054394,0.9884
0.004689,0.9984833333333333,0.058528,0.9888
0.003588,0.99875,0.044083,0.9909
