loss,acc,val_loss,val_acc
0.2606988444010417,0.9237833333651225,0.06289788513183593,0.979
0.06356487630208334,0.9808333333015442,0.04797801971435547,0.984
0.04513221842447917,0.9859499999682109,0.0385346116065979,0.988
0.034787056477864585,0.9887666666348776,0.03540580167770386,0.9885
0.02839019063313802,0.9909333333333333,0.032234786415100095,0.9898
0.02178740743001302,0.9929,0.035530249881744386,0.9887
0.01686151784261068,0.9948166666984558,0.05062375659942627,0.9862
0.014096288299560547,0.9954499999682108,0.03530608415603638,0.9898
0.010859346389770508,0.9966333333333334,0.036742746925354,0.9902
0.009046523412068685,0.9971333333333333,0.037427016067504884,0.9899
0.007745400746663411,0.9974666666666666,0.03691846981048584,0.9909
0.006264263788859049,0.9977666666666667,0.06395307598114014,0.9841
0.0074084395090738935,0.99765,0.04833080272674561,0.9891
0.004868656158447266,0.9984,0.038475537109375,0.9912
0.002941767692565918,0.99905,0.04017586832046509,0.9905
0.005568894322713216,0.9982,0.04418871307373047,0.9912
0.002541163889567057,0.9991666666666666,0.044727965545654294,0.991
0.001585250409444173,0.9994833333333333,0.04394162368774414,0.9913
0.0015670976956685383,0.9995166666666667,0.0479882209777832,0.9906
0.003978536796569824,0.9986666666666667,0.04763586053848266,0.9902
0.0013434879302978515,0.9996166666666667,0.04527677459716797,0.991
0.0003950789133707682,0.99995,0.04288953628540039,0.9914
0.0001943232218424479,1.0,0.04238336181640625,0.9919
0.00015124667485555014,1.0,0.041759810638427736,0.9918
0.00012297299702962238,1.0,0.04261922988891602,0.9917
0.00010208317438761393,1.0,0.043067498016357425,0.9918
8.930940628051758e-05,1.0,0.04356985473632812,0.9918
9.0594482421875e-05,1.0,0.043302659606933594,0.9919
8.595107396443685e-05,1.0,0.04338874893188477,0.992
8.210137685139974e-05,1.0,0.04389555206298828,0.9918
